Fri Apr 17 16:38:59 2026    docs\perf\flamegraph-hotspots-latest.cprofile.prof

         2611694 function calls (2565435 primitive calls) in 48.470 seconds

   Ordered by: cumulative time
   List reduced from 8117 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1666/1    0.368    0.000   48.498   48.498 {built-in method builtins.exec}
        1    0.000    0.000   48.498   48.498 C:\Users\mmoheban\Local Documents\Python\Code Template Files\Code Master Files\Codex GL-260 Processing Application\GL-260\scripts\perf\run_hotspot_bench.py:1(<module>)
        1    0.000    0.000   48.227   48.227 C:\Users\mmoheban\Local Documents\Python\Code Template Files\Code Master Files\Codex GL-260 Processing Application\GL-260\scripts\perf\run_hotspot_bench.py:202(main)
  1401/10    0.015    0.000   47.969    4.797 <frozen importlib._bootstrap_external>:756(exec_module)
        1    0.000    0.000   47.683   47.683 C:\Users\mmoheban\Local Documents\Python\Code Template Files\Code Master Files\Codex GL-260 Processing Application\GL-260\scripts\perf\run_hotspot_bench.py:24(_load_app_module)
  4739/20    0.013    0.000   47.643    2.382 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
  1685/36    0.066    0.000   47.421    1.317 <frozen importlib._bootstrap>:1360(_find_and_load)
  1652/36    0.048    0.000   47.417    1.317 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
        1    0.004    0.004   47.411   47.411 C:\Users\mmoheban\Local Documents\Python\Code Template Files\Code Master Files\Codex GL-260 Processing Application\GL-260\GL-260 Data Analysis and Plotter.py:1(<module>)
  1609/38    0.042    0.000   47.324    1.245 <frozen importlib._bootstrap>:914(_load_unlocked)
 1726/538    0.009    0.000   31.305    0.058 {built-in method builtins.__import__}
     1401    0.048    0.000   31.234    0.022 <frozen importlib._bootstrap_external>:829(get_code)
     1401    0.018    0.000   29.808    0.021 <frozen importlib._bootstrap_external>:950(get_data)
     1401   29.147    0.021   29.147    0.021 {built-in method _io.open_code}
 1886/925    0.009    0.000   27.772    0.030 <frozen importlib._bootstrap>:1401(_handle_fromlist)
        1    0.000    0.000   12.836   12.836 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\optimize\__init__.py:1(<module>)
        1    0.000    0.000    8.340    8.340 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\optimize\_optimize.py:1(<module>)
        1    0.000    0.000    8.184    8.184 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\pandas\__init__.py:1(<module>)
        1    0.000    0.000    7.134    7.134 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\signal\__init__.py:1(<module>)
        1    0.001    0.001    7.059    7.059 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\linalg\__init__.py:1(<module>)
        1    0.001    0.001    7.005    7.005 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\signal\_support_alternative_backends.py:1(<module>)
        1    0.000    0.000    6.960    6.960 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\signal\_signal_api.py:1(<module>)
  173/128    0.001    0.000    6.922    0.054 <frozen importlib._bootstrap_external>:1062(exec_module)
  173/128    0.225    0.001    6.921    0.054 {built-in method _imp.exec_dynamic}
        1    0.001    0.001    6.371    6.371 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\pyplot.py:1(<module>)
27863/26826    0.074    0.000    6.158    0.000 {built-in method builtins.hasattr}
        1    0.001    0.001    5.454    5.454 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\__init__.py:1(<module>)
        1    0.000    0.000    5.366    5.366 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\signal\_peak_finding.py:1(<module>)
        1    0.001    0.001    5.237    5.237 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\stats\__init__.py:1(<module>)
