Fri Apr 17 16:32:40 2026    docs\perf\flamegraph-startup-latest.cprofile.prof

         2592551 function calls (2547498 primitive calls) in 52.948 seconds

   Ordered by: cumulative time
   List reduced from 8136 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1681/26    0.067    0.000   52.398    2.015 <frozen importlib._bootstrap>:1360(_find_and_load)
  1648/26    0.028    0.000   52.395    2.015 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
  1606/29    0.045    0.000   52.371    1.806 <frozen importlib._bootstrap>:914(_load_unlocked)
  1398/27    0.013    0.000   52.351    1.939 <frozen importlib._bootstrap_external>:756(exec_module)
  4731/51    0.072    0.000   51.850    1.017 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
     1398    0.046    0.000   36.636    0.026 <frozen importlib._bootstrap_external>:829(get_code)
     1398    0.017    0.000   35.395    0.025 <frozen importlib._bootstrap_external>:950(get_data)
 1726/538    0.028    0.000   34.369    0.064 {built-in method builtins.__import__}
     1398   31.921    0.023   31.921    0.023 {built-in method _io.open_code}
 1884/922    0.010    0.000   31.340    0.034 <frozen importlib._bootstrap>:1401(_handle_fromlist)
        1    0.000    0.000   20.862   20.862 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\optimize\__init__.py:1(<module>)
        1    0.000    0.000   14.512   14.512 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\optimize\_optimize.py:1(<module>)
        1    0.001    0.001   12.053   12.053 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\linalg\__init__.py:1(<module>)
  173/128    0.002    0.000   11.513    0.090 <frozen importlib._bootstrap_external>:1062(exec_module)
  173/128    0.205    0.001   11.512    0.090 {built-in method _imp.exec_dynamic}
27855/26818    0.060    0.000   10.934    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    8.702    8.702 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\signal\__init__.py:1(<module>)
        1    0.001    0.001    8.472    8.472 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\signal\_support_alternative_backends.py:1(<module>)
        1    0.000    0.000    8.355    8.355 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\_lib\_util.py:1(<module>)
        1    0.000    0.000    8.341    8.341 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\signal\_signal_api.py:1(<module>)
        1    0.000    0.000    8.297    8.297 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\_lib\_array_api.py:1(<module>)
      131    0.006    0.000    7.880    0.060 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\importlib\__init__.py:71(import_module)
      131    0.001    0.000    7.874    0.060 <frozen importlib._bootstrap>:1386(_gcd_import)
        1    0.000    0.000    7.717    7.717 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\_lib\array_api_compat\numpy\__init__.py:1(<module>)
       10    0.000    0.000    7.387    0.739 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\numpy\__init__.py:720(__getattr__)
        1    0.000    0.000    6.650    6.650 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\pandas\__init__.py:1(<module>)
        1    0.000    0.000    5.576    5.576 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\signal\_peak_finding.py:1(<module>)
        1    0.000    0.000    5.573    5.573 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\numpy\f2py\__init__.py:1(<module>)
        1    0.001    0.001    5.454    5.454 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\stats\__init__.py:1(<module>)
        1    0.000    0.000    5.445    5.445 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\numpy\f2py\f2py2e.py:1(<module>)
        1    0.001    0.001    5.375    5.375 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\pyplot.py:1(<module>)
        1    0.000    0.000    4.893    4.893 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\numpy\f2py\capi_maps.py:1(<module>)
        1    0.001    0.001    4.703    4.703 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\numpy\f2py\crackfortran.py:1(<module>)
        1    0.000    0.000    4.335    4.335 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\charset_normalizer\__init__.py:1(<module>)
        1    0.001    0.001    4.218    4.218 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\charset_normalizer\api.py:1(<module>)
       98    0.001    0.000    4.153    0.042 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\charset_normalizer\utils.py:265(is_multi_byte_encoding)
        1    0.001    0.001    3.783    3.783 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\__init__.py:1(<module>)
        1    0.002    0.002    3.713    3.713 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\stats\_stats_py.py:1(<module>)
       32    0.000    0.000    3.545    0.111 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\__init__.py:141(__getattr__)
3695/3589    0.288    0.000    3.455    0.001 {built-in method builtins.__build_class__}
1606/1594    0.034    0.000    3.411    0.002 <frozen importlib._bootstrap>:809(module_from_spec)
     1398    3.360    0.002    3.360    0.002 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    3.262    3.262 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\pandas\core\api.py:1(<module>)
  173/172    0.002    0.000    3.107    0.018 <frozen importlib._bootstrap_external>:1054(create_module)
  173/172    3.054    0.018    3.104    0.018 {built-in method _imp.create_dynamic}
