import time: self [us] | cumulative | imported package
import time:       265 |        265 | winreg
import time:       594 |        594 |   _io
import time:       101 |        101 |   marshal
import time:       540 |        540 |   nt
import time:      1871 |       3104 | _frozen_importlib_external
import time:      1725 |       1725 |   time
import time:       691 |       2415 | zipimport
import time:       172 |        172 |     _codecs
import time:      1604 |       1776 |   codecs
import time:     35975 |      35975 |   encodings.aliases
import time:       979 |        979 |   encodings._win_cp_codecs
import time:      5334 |      44063 | encodings
import time:      1948 |       1948 | encodings.utf_8
import time:       142 |        142 | _signal
import time:       133 |        133 |       _abc
import time:       535 |        668 |     abc
import time:       182 |        182 |       _stat
import time:       467 |        649 |     stat
import time:      2613 |       2613 |     _collections_abc
import time:       389 |        389 |       genericpath
import time:       728 |        728 |       _winapi
import time:       926 |       2043 |     ntpath
import time:      1514 |       7484 |   os
import time:       284 |        284 |   _sitebuiltins
import time:       166 |        166 |   errno
import time:      3797 |       3797 |   sitecustomize
import time:      8588 |       8588 |   usercustomize
import time:      2672 |      22989 | site
import time:       134 |        134 |     _contextvars
import time:       136 |        136 |         _types
import time:      1272 |       1408 |       types
import time:      1170 |       2578 |     _weakrefset
import time:       307 |        307 |     itertools
import time:       145 |        145 |     _collections
import time:      2273 |       5434 |   threading
import time:      4348 |       9781 | sysconfig
import time:      4051 |       4051 |     enum
import time:       187 |        187 |       _sre
import time:      1211 |       1211 |         re._constants
import time:      1635 |       2846 |       re._parser
import time:       758 |        758 |       re._casefix
import time:      1714 |       5504 |     re._compiler
import time:      1084 |       1084 |         keyword
import time:       203 |        203 |           _operator
import time:      1697 |       1900 |         operator
import time:      1200 |       1200 |         reprlib
import time:      2675 |       6858 |       collections
import time:       275 |        275 |       _functools
import time:      2534 |       9666 |     functools
import time:     26674 |      26674 |     copyreg
import time:      2265 |      48158 |   re
import time:      4094 |       4094 |   html.entities
import time:      2213 |      54464 | html
import time:       140 |        140 | atexit
import time:       547 |        547 |     io
import time:      1247 |       1793 |   shlex
import time:       646 |        646 |         posix
import time:       604 |        604 |         posix
import time:       388 |       1638 |       posixpath
import time:      1376 |       3013 |     fnmatch
import time:       194 |        194 |     zlib
import time:      1170 |       1170 |         compression
import time:      1162 |       2331 |       compression._common
import time:      1335 |       1335 |       compression._common._streams
import time:    121598 |     121598 |       _bz2
import time:      1340 |     126602 |     bz2
import time:     44178 |      44178 |       _lzma
import time:      1610 |      45787 |     lzma
import time:     44316 |      44316 |       _zstd
import time:      1630 |       1630 |       compression.zstd._zstdfile
import time:      2899 |      48844 |     compression.zstd
import time:      2274 |     226712 |   shutil
import time:       167 |        167 |       _locale
import time:      2207 |       2374 |     locale
import time:      1527 |       1527 |     signal
import time:      1585 |       1585 |       _py_warnings
import time:     32039 |      33623 |     warnings
import time:      2340 |       2340 |     contextlib
import time:       726 |        726 |     fcntl
import time:       146 |        146 |     msvcrt
import time:      2269 |      43002 |   subprocess
import time:      1951 |     273457 | webbrowser
import time:      1198 |       1198 |   importlib
import time:      1277 |       1277 |   __future__
import time:       135 |        135 |         _json
import time:      1441 |       1575 |       json.scanner
import time:      1999 |       3574 |     json.decoder
import time:      1477 |       1477 |     json.encoder
import time:      1887 |       6937 |   json
import time:      1132 |       1132 |   email
import time:      5426 |       5426 |         _ast
import time:      2288 |       7714 |       ast
import time:      2357 |      10071 |     annotationlib
import time:       125 |        125 |         _opcode
import time:      1209 |       1209 |         _opcode_metadata
import time:      1715 |       3048 |       opcode
import time:      3515 |       6563 |     dis
import time:       182 |        182 |     importlib.machinery
import time:     29568 |      29568 |     linecache
import time:      1156 |       1156 |       token
import time:       105 |        105 |       _tokenize
import time:      2872 |       4132 |     tokenize
import time:      1808 |       1808 |     weakref
import time:     44031 |      96352 |   inspect
import time:      2015 |       2015 |     glob
import time:       738 |        738 |     pwd
import time:     42925 |      42925 |     grp
import time:       724 |        724 |       fcntl
import time:       659 |        659 |       posix
import time:      1918 |       3300 |     pathlib._os
import time:      2797 |      51773 |   pathlib
import time:       203 |        203 |     binascii
import time:      6664 |       6664 |       importlib._abc
import time:       692 |       7355 |     importlib.util
import time:       243 |        243 |       _struct
import time:      2932 |       3175 |     struct
import time:      1173 |       1173 |       zipfile._path.glob
import time:      1880 |       3052 |     zipfile._path
import time:      4128 |      17911 |   zipfile
import time:     28898 |      28898 |   textwrap
import time:       114 |        114 |       _typing
import time:      5640 |       5753 |     typing
import time:      1657 |       7410 |   importlib.metadata._meta
import time:      1488 |       1488 |   importlib.metadata._collections
import time:       863 |        863 |   importlib.metadata._functools
import time:       786 |        786 |   importlib.metadata._itertools
import time:      1374 |       1374 |   importlib.abc
import time:      3519 |     220912 | importlib.metadata
import time:      1230 |       1230 |     codeop
import time:      1440 |       1440 |         copy
import time:      6114 |       7553 |       dataclasses
import time:     50485 |      58038 |     _colorize
import time:      2674 |      61940 |   traceback
import time:       151 |        151 |     _string
import time:      5576 |       5727 |   string
import time:     40724 |     108390 | logging
import time:      1623 |       1623 |     _compat_pickle
import time:       316 |        316 |     _pickle
import time:      3182 |       5120 |   pickle
import time:       121 |        121 |       _heapq
import time:      1295 |       1416 |     heapq
import time:     38687 |      38687 |     _queue
import time:      1776 |      41878 |   queue
import time:     48992 |      48992 |     _socket
import time:      6198 |      55189 |   socket
import time:     34919 |     137106 | logging.handlers
import time:    314305 |     314305 |   _tkinter
import time:      1740 |       1740 |   tkinter.constants
import time:      8583 |     324627 | tkinter
import time:     22147 |      22147 | tkinter.ttk
import time:       111 |        111 | _sysconfig
import time:     35948 |      35948 |     pprint
import time:       196 |        196 |         math
import time:        85 |         85 |           _bisect
import time:       985 |       1070 |         bisect
import time:        77 |         77 |         _random
import time:      4999 |       6340 |       random
import time:     33960 |      40300 |     tempfile
import time:      2671 |       2671 |       packaging
import time:     76704 |      76704 |       packaging._structures
import time:    106141 |     185514 |     packaging.version
import time:     44781 |      44781 |       matplotlib._api.deprecation
import time:    196024 |     240805 |     matplotlib._api
import time:      1435 |       1435 |     matplotlib._version
import time:      1758 |       1758 |       gzip
import time:      2121 |       2121 |         numpy.version
import time:      1428 |       1428 |         numpy._expired_attrs_2_0
import time:     31051 |      31051 |             numpy._utils._convertions
import time:      1536 |      32586 |           numpy._utils
import time:     38522 |      71108 |         numpy._globals
import time:       339 |        339 |           numpy._distributor_init_local
import time:      1489 |       1828 |         numpy._distributor_init
import time:       175 |        175 |                     _datetime
import time:     38996 |      39170 |                   datetime
import time:      1486 |       1486 |                   numpy.exceptions
import time:     80777 |      80777 |                   numpy._core._exceptions
import time:      1343 |       1343 |                     contextvars
import time:      1637 |       2980 |                   numpy._core.printoptions
import time:     86917 |      86917 |                   numpy.dtypes
import time:    158274 |     369603 |                 numpy._core._multiarray_umath
import time:     69985 |      69985 |                   numpy._utils._inspect
import time:     80273 |     150257 |                 numpy._core.overrides
import time:      3527 |     523386 |               numpy._core.multiarray
import time:     67410 |      67410 |               numpy._core.umath
import time:      3833 |       3833 |                 numbers
import time:     76206 |      76206 |                 numpy._core._dtype
import time:     74301 |      74301 |                 numpy._core._string_helpers
import time:     74923 |      74923 |                 numpy._core._type_aliases
import time:     63636 |     292897 |               numpy._core.numerictypes
import time:    125999 |     125999 |                 numpy._core._ufunc_config
import time:      3688 |       3688 |                   numpy._core._methods
import time:     45061 |      48748 |                 numpy._core.fromnumeric
import time:      1466 |     176213 |               numpy._core._machar
import time:      2547 |       2547 |                   numpy._core.shape_base
import time:     99172 |      99172 |                   numpy._core._asarray
import time:     51007 |      51007 |                   numpy._core.arrayprint
import time:     47815 |     200539 |                 numpy._core.numeric
import time:      3551 |     204090 |               numpy._core.einsumfunc
import time:      1685 |       1685 |               numpy._core.function_base
import time:      1597 |       1597 |               numpy._core.getlimits
import time:     31691 |      31691 |               numpy._core.memmap
import time:     37765 |      37765 |               numpy._core.records
import time:     41014 |      41014 |               numpy._core._add_newdocs
import time:     42860 |      42860 |               numpy._core._add_newdocs_scalars
import time:     42426 |      42426 |               numpy._core._dtype_ctypes
import time:      4887 |       4887 |                   _ctypes
import time:      1776 |       1776 |                   ctypes._endian
import time:     42074 |      48736 |                 ctypes
import time:     31632 |      80367 |               numpy._core._internal
import time:      1978 |       1978 |               numpy._pytesttester
import time:     40089 |    1585461 |             numpy._core
import time:       113 |    1585573 |           numpy._core._multiarray_umath
import time:      1941 |    1587513 |         numpy.__config__
import time:     34022 |      34022 |                           numpy._typing._nbit_base
import time:     68449 |      68449 |                           numpy._typing._nested_sequence
import time:     36077 |      36077 |                           numpy._typing._shape
import time:     63037 |     201584 |                         numpy._typing._array_like
import time:     16541 |      16541 |                         numpy._typing._char_codes
import time:      5762 |       5762 |                         numpy._typing._dtype_like
import time:     33679 |      33679 |                         numpy._typing._nbit
import time:    104183 |     104183 |                         numpy._typing._scalars
import time:    120529 |     120529 |                         numpy._typing._ufunc
import time:     31972 |     514248 |                       numpy._typing
import time:     77987 |      77987 |                         numpy.lib._stride_tricks_impl
import time:      2093 |      80080 |                       numpy.lib._twodim_base_impl
import time:    205182 |     205182 |                         numpy.lib._array_utils_impl
import time:     71387 |     276568 |                       numpy.lib.array_utils
import time:     42399 |      42399 |                       numpy.linalg._umath_linalg
import time:      8874 |     922166 |                     numpy.linalg._linalg
import time:     74105 |      74105 |                     numpy.linalg.linalg
import time:     35468 |    1031738 |                   numpy.linalg
import time:      3420 |    1035158 |                 numpy.matrixlib.defmatrix
import time:     67628 |    1102785 |               numpy.matrixlib
import time:     32573 |      32573 |                 numpy.lib._histograms_impl
import time:     30882 |      63455 |               numpy.lib._function_base_impl
import time:      3569 |       3569 |               numpy.lib.stride_tricks
import time:     78498 |    1248305 |             numpy.lib._index_tricks_impl
import time:      2389 |    1250694 |           numpy.lib._arraypad_impl
import time:     35691 |      35691 |           numpy.lib._arraysetops_impl
import time:      1331 |       1331 |           numpy.lib._arrayterator_impl
import time:      2143 |       2143 |           numpy.lib._nanfunctions_impl
import time:     37137 |      37137 |                     _wmi
import time:      4316 |      41452 |                   platform
import time:     39756 |      81208 |                 numpy.lib._utils_impl
import time:    141099 |     222307 |               numpy.lib._format_impl
import time:      1447 |     223753 |             numpy.lib.format
import time:      1709 |       1709 |             numpy.lib._datasource
import time:      2397 |       2397 |             numpy.lib._iotools
import time:    173796 |     401654 |           numpy.lib._npyio_impl
import time:      1100 |       1100 |               numpy.lib._ufunclike_impl
import time:      1715 |       2815 |             numpy.lib._type_check_impl
import time:     59354 |      62169 |           numpy.lib._polynomial_impl
import time:     28748 |      28748 |           numpy.lib._shape_base_impl
import time:     54253 |      54253 |           numpy.lib._version
import time:     61562 |      61562 |           numpy.lib.introspect
import time:      3409 |       3409 |           numpy.lib.mixins
import time:      1218 |       1218 |           numpy.lib.npyio
import time:      2772 |       2772 |             numpy.lib._scimath_impl
import time:      1117 |       3889 |           numpy.lib.scimath
import time:      2568 |    1909322 |         numpy.lib
import time:      1595 |       1595 |         numpy._array_api_info
import time:     44329 |    3619240 |       numpy
import time:     23065 |      23065 |       matplotlib._c_internal_utils
import time:     93962 |    3738024 |     matplotlib.cbook
import time:     65926 |      65926 |     matplotlib._docstring
import time:    131775 |     131775 |         matplotlib.backends.registry
import time:     83926 |     215701 |       matplotlib.backends
import time:      1702 |       1702 |         base64
import time:     35145 |      35145 |           PIL._version
import time:     38518 |      73662 |         PIL
import time:    104444 |     104444 |           PIL.ExifTags
import time:      2429 |       2429 |           PIL.ImageMode
import time:      3873 |       3873 |           PIL.TiffTags
import time:     68263 |      68263 |           PIL._binary
import time:     38759 |      38759 |           PIL._deprecate
import time:      1963 |       1963 |           PIL._util
import time:       741 |        741 |           defusedxml
import time:     44599 |      44599 |           PIL._imaging
import time:      9183 |     274251 |         PIL.Image
import time:      1492 |       1492 |           PIL.ImageChops
import time:     43843 |      43843 |           PIL.ImageFile
import time:       242 |        242 |             array
